date,low_1_time,low_1_height_m,low_2_time,low_2_height_m,high_1_time,high_1_height_m,high_2_time,high_2_height_m,sunrise,sunset
2023-05-07,00:50,,13:10,,06:50,,19:10,,05:45,20:48
2023-05-08,01:30,,13:50,,07:30,,19:50,,05:43,20:50
2023-05-09,02:13,,14:32,,08:12,,20:33,,05:42,20:51
2023-05-10,02:59,,15:18,,08:59,,21:54,,05:40,20:53
2023-05-11,03:53,,16:15,,09:55,,22:26,,05:39,20:54
2023-05-12,05:01,,17:31,,11:04,,23:43,,05:37,20:56
2023-05-13,06:27,,19:06,,12:29,,,,05:36,20:57
2023-05-14,07:51,,20:23,,01:07,,13:50,,05:34,20:59
2023-05-15,08:57,,21:24,,02:19,,14:56,,05:33,21:00
2023-05-16,09:51,,22:14,,03:20,,15:50,,05:31,21:02
2023-05-17,10:37,,22:58,,04:10,,16:35,,05:30,21:03
2023-05-18,11:18,,23:38,,04:55,,17:17,,05:29,21:04
2023-05-19,11:56,,,,05:37,,17:55,,05:27,21:06
2023-05-20,00:15,,12:31,,06:15,,18:32,,05:26,21:07
2023-05-21,00:51,,13:06,,06:53,,19:08,,05:25,21:08
2023-05-22,01:30,,13:43,,07:31,,19:45,,05:24,21:10
2023-05-23,02:08,,14:19,,08:08,,20:21,,05:23,21:11
2023-05-24,02:45,,14:55,,08:46,,21:00,,05:22,21:12
2023-05-25,03:25,,15:34,,09:26,,21:42,,05:20,21:14
2023-05-26,04:10,,16:24,,10:13,,22:35,,05:19,21:15
2023-05-27,05:09,,17:29,,11:12,,23:39,,05:18,21:16
2023-05-28,06:25,,18:52,,12:25,,,,05:18,21:17
2023-05-29,07:39,,20:01,,00:55,,13:39,,05:17,21:18
2023-05-30,08:37,,20:56,,02:03,,14:38,,05:16,21:19
2023-05-31,09:27,,21:44,,02:56,,15:25,,05:15,21:21
2023-06-01,10:11,,22:28,,03:42,,16:07,,05:14,21:22
2023-06-02,10:51,,23:09,,04:25,,16:48,,05:14,21:23
2023-06-03,11:31,,23:51,,05:06,,17:29,,05:13,21:24
2023-06-04,12:12,,,,05:49,,18:11,,05:12,21:25
2023-06-05,00:32,,12:52,,06:33,,18:55,,05:12,21:26
2023-06-06,01:18,,13:39,,07:19,,19:42,,05:11,21:26
2023-06-07,02:08,,14:28,,08:09,,20:32,,05:11,20:27
2023-06-08,02:59,,15:19,,09:01,,21:27,,05:10,21:28
2023-06-09,03:56,,16:17,,09:58,,22:25,,05:10,21:29
2023-06-10,05:00,,17:24,,10:58,,23:30,,05:09,21:30
2023-06-11,06:09,,18:38,,12:06,,,,05:09,21:30
2023-06-12,07:20,,19:48,,00:38,,13:15,,05:09,21:31
2023-06-13,08:21,,20:50,,01:44,,14:18,,05:09,21:32
2023-06-14,09:18,,21:44,,02:45,,15:16,,05:09,21:32
2023-06-15,10:08,,22:33,,03:40,,16:07,,05:08,21:33
2023-06-16,10:52,,23:17,,04:30,,16:54,,05:08,21:33
2023-06-17,11:33,,23:57,,05:15,,17:36,,05:08,21:34
2023-06-18,12:11,,,,05:58,,18:15,,05:08,21:34
2023-06-19,00:34,,12:47,,06:36,,18:53,,05:09,21:34
2023-06-20,01:13,,13:24,,07:14,,19:30,,05:09,21:35
2023-06-21,01:52,,14:01,,07:52,,20:07,,05:09,21:35
2023-06-22,02:29,,14:38,,08:29,,20:14,,05:09,21:35
2023-06-23,03:07,,15:15,,09:06,,21:23,,05:09,21:35
2023-06-24,03:47,,15:57,,09:47,,22:05,,05:10,21:35
2023-06-25,04:31,,16:45,,10:32,,22:52,,05:10,21:35
2023-06-26,05:24,,17:43,,11:24,,23:48,,05:11,21:35
2023-06-27,06:24,,18:51,,12:25,,,,05:11,21:35
2023-06-28,07:31,,19:57,,00:50,,13:30,,05:11,21:35
2023-06-29,08:32,,20:57,,01:55,,14:31,,05:12,21:35
2023-06-30,09:28,,21:52,,02:54,,15:27,,05:13,21:35
2023-07-01,10:20,,22:44,,03:50,,16:19,,05:13,21:35
2023-07-02,11:08,,23:33,,04:42,,17:08,,05:14,21:34
2023-07-03,11:56,,,,05:33,,17:57,,05:15,21:34
2023-07-04,00:21,,12:42,,06:23,,18:46,,05:15,21:34
2023-07-05,01:11,,13:32,,07:13,,19:37,,05:16,21:33
2023-07-06,02:03,,14:22,,08:05,,20:27,,05:15,21:33
2023-07-07,02:55,,15:14,,08:54,,21:19,,05:18,21:32
2023-07-08,03:47,,16:06,,09:44,,22:10,,05:19,21:32
2023-07-09,04:41,,17:00,,10:37,,23:03,,05:20,21:31
2023-07-10,05:36,,17:59,,11:31,,,,05:21,21:30
2023-07-11,06:37,,19:06,,00:01,,12:33,,05:22,21:30
2023-07-12,07:41,,20:13,,01:04,,13:37,,05:23,21:29
2023-07-13,08:44,,21:18,,02:10,,14:44,,05:24,21:28
2023-07-14,09:43,,22:16,,03:14,,15:46,,05:25,21:27
2023-07-15,10:34,,23:05,,04:13,,16:39,,05:26,21:26
2023-07-16,11:19,,23:47,,05:04,,17:24,,05:27,21:25
2023-07-17,11:58,,,,05:46,,18:04,,05:28,21:24
2023-07-18,00:24,,12:33,,06:25,,18:41,,05:29,21:23
2023-07-19,00:59,,13:09,,07:01,,19:15,,05:31,21:22
2023-07-20,01:35,,13:43,,07:36,,19:49,,05:32,21:21
2023-07-21,02:10,,14:17,,08:09,,20:22,,05:33,21:20
2023-07-22,02:42,,14:51,,08:42,,20:56,,05:34,21:19
2023-07-23,03:17,,15:27,,09:15,,21:31,,05:36,21:18
2023-07-24,03:53,,16:05,,09:51,,22:09,,05:37,21:16
2023-07-25,04:32,,16:49,,10:33,,22:53,,05:38,21:15
2023-07-26,05:19,,17:43,,11:23,,23:49,,05:40,21:14
2023-07-27,06:20,,18:56,,12:28,,,,05:41,21:12
2023-07-28,07:38,,20:16,,00:58,,13:42,,05:42,21:11
2023-07-29,08:54,,21:27,,02:15,,14:55,,05:44,21:09
2023-07-30,10:00,,22:29,,03:26,,15:59,,05:45,21:08
2023-07-31,10:55,,23:23,,04:29,,16:56,,05:47,21:06
